,Battle Number,Battle Label,Round,Competitor 1,Competitor 2,Nationality 1,Nationality 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Tuff Kid,Junior,Benny,Wicket,Taisuke,Competitor 1 Votes,Competitor 2 Votes
,1,Top 16,N/A,Issei,Luka,,,Issei,Luka,N/A,N/A,Issei,-1,-1,-1,-1,-1,,
,2,Top 16,N/A,Cri6,Dr.Hill,,,Cri6,Dr.Hill,N/A,N/A,Dr.Hill,-1,-1,-1,-1,1,,
,3,Top 16,N/A,The Wolfer,Nori,,,Nori,The Wolfer,N/A,N/A,The Wolfer,1,-1,-1,-1,1,,
,4,Top 16,N/A,Sunni,Luigi,,,Sunni,Luigi,N/A,N/A,Luigi,-1,1,-1,1,1,,
,5,Top 16,N/A,Lil Zoo,Vero,,,Lil Zoo,Vero,N/A,N/A,Lil Zoo,-1,-1,-1,-1,1,,
,6,Top 16,N/A,Lil Kev,Kid Colombia,,,Kid Colombia,Lil Kev,N/A,N/A,Lil Kev,1,-1,-1,-1,1,,
,7,Top 16,N/A,Victor,Leony,,,Victor,Leony,N/A,N/A,Victor,-1,-1,-1,-1,-1,,
,8,Top 16,N/A,Uzee Rock,Chey,,,Uzee Rock,Chey,N/A,N/A,Uzee Rock,-1,-1,-1,-1,-1,,
,9,Quarterfinal,N/A,Issei,Dr. Hill,,,Issei,Dr. Hill,N/A,N/A,Dr. Hill,1,-1,1,-1,1,,
,10,Quarterfinal,N/A,The Wolfer,Luigi,,,Luigi,The Wolfer,N/A,N/A,Luigi,1,1,-1,-1,1,,
,11,Quarterfinal,N/A,Lil Zoo,Lil Kev,,,Lil Zoo,Lil Kev,N/A,N/A,Lil Zoo,-1,1,-1,-1,-1,,
,12,Quarterfinal,N/A,Victor,Uzee Rock,,,Uzee Rock,Victor,N/A,N/A,Victor,1,-1,-1,-1,-1,,
,13,Semifinal,N/A,Dr. Hill,Luigi,,,Dr Hill,Luigi,N/A,N/A,Luigi,-1,1,-1,1,1,,
,14,Semifinal,N/A,Lil Zoo,Victor,,,Lil Zoo,Victor,N/A,N/A,Lil Zoo,-1,-1,-1,-1,1,,
,15,Final,N/A,Lil Zoo,Luigi,,,Lil Zoo,Luigi,N/A,N/A,Lil Zoo,-1,-1,-1,-1,1,,
